,Strategy_Equity,Benchmark_Equity
2022-12-15,1281160.5,738973.75
2022-12-16,1284908.5,731792.0
2022-12-19,1296975.625,722367.56
2022-12-20,1298936.875,723115.1
2022-12-21,1302566.75,731471.6
2022-12-22,1328331.0,709846.25
2022-12-23,1321731.0,713503.8
2022-12-27,1331081.375,702103.9
2022-12-28,1333505.875,695642.9
2022-12-29,1327859.0,710540.44
2022-12-30,1319428.0,713744.1
2023-01-03,1345451.125,706535.7
2023-01-04,1317545.625,708564.7
2023-01-05,1328561.25,700448.5
2023-01-06,1332095.375,716841.1
2023-01-09,1338814.0,720071.56
2023-01-10,1326387.875,729415.8
2023-01-11,1311320.25,740762.5
2023-01-12,1324770.5,744340.0
2023-01-13,1317346.0,749172.3
2023-01-17,1314974.875,749092.25
2023-01-18,1312602.0,740201.8
2023-01-19,1300018.625,737051.5
2023-01-20,1290839.875,755820.1
2023-01-23,1300945.0,770877.8
2023-01-24,1297434.0,764416.94
2023-01-25,1300670.125,769676.44
2023-01-26,1296123.875,779554.94
2023-01-27,1295644.375,790233.9
2023-01-30,1304284.25,776164.06
2023-01-31,1296288.125,782464.75
2023-02-01,1289234.125,811592.25
2023-02-02,1314918.375,820349.2
2023-02-03,1317395.75,816611.5
2023-02-06,1322080.25,813087.4
2023-02-07,1335732.0,826836.9
2023-02-08,1328530.5,814609.1
2023-02-09,1323679.875,804517.25
2023-02-10,1305342.125,800913.06
2023-02-13,1297428.75,812499.94
2023-02-14,1318218.75,816424.56
2023-02-15,1320202.125,827611.0
2023-02-16,1306191.625,806359.5
2023-02-17,1307302.75,804944.44
2023-02-21,1309124.25,786469.4
2023-02-22,1309893.875,789833.44
2023-02-23,1299419.125,791648.9
2023-02-24,1285828.625,778913.94
2023-02-27,1280726.125,786015.6
2023-02-28,1276999.125,779528.0
2023-03-01,1282250.25,776164.06
2023-03-02,1285717.5,782384.6
2023-03-03,1282849.25,801740.7
2023-03-06,1279388.875,801473.8
2023-03-07,1285832.125,790847.94
